x,y,mass,velocity_x,velocity_y
89.043,22.6234,0.207488,0.966901,0.255153,
91.1448,523.779,0.28017,0.76526,-0.643722,
238.064,551.057,0.789816,0.59979,-0.800157,
337.481,81.9238,0.274066,0.959351,0.282217,
132.986,768.112,0.229043,0.549357,-0.835588,
460.525,214.331,0.510567,0.759556,-0.650441,
271.766,606.649,0.216849,0.506307,-0.862353,
402.388,263.988,0.462915,0.759896,-0.650045,
129.757,692.464,0.789721,0.601936,-0.798544,
303.441,256.205,0.136658,0.904514,-0.426444,
5.24454,267.337,0.684385,0.974291,-0.225295,
499.95,616.228,0.258306,0.092939,-0.995672,
360.925,311.101,0.892817,0.736302,-0.676653,
27.1979,243.607,0.535286,0.981484,-0.191544,
545.129,587.182,0.556202,-0.00220442,-0.999998,
243.219,573.838,0.791392,0.572374,-0.819993,
119.743,687.043,0.264346,0.614883,-0.788618,
502.107,762.982,0.189531,0.0676263,-0.997711,
266.383,212.773,0.695522,0.969638,-0.244543,
425.365,89.9662,0.430957,0.913922,0.405889,
470.243,435.109,0.00845061,0.245061,-0.969508,
561.1,311.939,0.933846,-0.0996727,-0.99502,
283.078,127.725,0.926935,0.998354,0.0573449,
558.452,13.1686,0.567849,-0.109739,0.99396,
286.869,113.193,0.281406,0.993479,0.114018,
275.444,787.043,0.436473,0.384905,-0.922956,
290.663,20.7773,0.0362707,0.901149,0.43351,
502.146,195.653,0.110156,0.6216,-0.783335,
597.24,563.017,0.548018,-0.125321,-0.992116,
156.237,239.374,0.235674,0.970333,-0.241773,
165.397,198.337,0.857245,0.98939,-0.145284,
367.98,476.412,0.459278,0.466871,-0.884326,
548.496,221.486,0.183546,-0.0551016,-0.998481,
58.7297,88.4766,0.0392426,0.993814,0.111055,
91.9397,211.114,0.315655,0.988755,-0.149543,
222.426,711.798,0.196262,0.492139,-0.870517,
46.6598,742.046,0.546918,0.638707,-0.76945,
26.4014,455.711,0.957561,0.85578,-0.517339,
94.4745,249.551,0.183738,0.972921,-0.231139,
145.83,303.62,0.108531,0.927209,-0.374543,
274.168,768.102,0.736776,0.396349,-0.9181,
117.103,486.607,0.54974,0.778864,-0.627193,
524.823,394.993,0.98122,0.0763827,-0.997079,
114.499,271.589,0.398716,0.957843,-0.287293,
345.657,36.155,0.941264,0.881055,0.473015,
244.176,706.839,0.388638,0.469504,-0.882931,
530.536,466.633,0.756722,0.0419899,-0.999118,
114.207,461.582,0.294522,0.803212,-0.595693,
30.4985,353.447,0.435527,0.92517,-0.379553,
581.632,395.243,0.613313,-0.146826,-0.989162,
364.354,659.108,0.306698,0.328818,-0.944393,
115.761,487.777,0.358034,0.778784,-0.627293,
536.473,798.753,0.53263,0.0117004,-0.999932,
304.277,279.26,0.430041,0.869069,-0.494691,
521.71,337.988,0.556736,0.114164,-0.993462,
408.721,757.691,0.372373,0.215065,-0.9766,
550.634,519.002,0.361101,-0.0172326,-0.999852,
345.441,309.761,0.295668,0.765465,-0.643478,
413.374,620.277,0.02798,0.264118,-0.96449,
522.328,130.978,0.836189,0.880591,0.473876,
413.426,58.5551,0.668188,0.840801,0.541344,
115.259,633.277,0.5551,0.658203,-0.75284,
137.273,67.6234,0.742523,0.98339,0.181504,
288.594,412.538,0.570157,0.687658,-0.726035,
591.921,593.992,0.393825,-0.105273,-0.994443,
4.67418,96.5179,0.660151,0.996353,0.085331,
69.2521,632.623,0.607522,0.696025,-0.718018,
267.012,280.831,0.992166,0.895018,-0.446029,
267.145,667.717,0.436939,0.466657,-0.884438,
524.6,245.78,0.874847,0.186362,-0.982481,
542.479,445.585,0.381576,0.00551425,-0.999985,
32.8752,95.8593,0.655386,0.995826,0.0912728,
362.563,72.9804,0.399478,0.933519,0.358527,
161.473,446.8,0.245389,0.782922,-0.62212,
546.178,312.989,0.674048,-0.0119155,-0.999929,
493.235,622.507,0.947073,0.105525,-0.994417,
577.983,312.551,0.649394,-0.195384,-0.980727,
564.797,453.043,0.481268,-0.0663914,-0.997794,
162.911,18.4964,0.276972,0.950798,0.309811,
73.2986,789.763,0.607927,0.588396,-0.808573,
90.6416,385.847,0.879686,0.881338,-0.472487,
469.012,548.026,0.0793242,0.182278,-0.983247,
413.434,376.804,0.735278,0.487546,-0.873097,
204.42,366.444,0.887105,0.835171,-0.54999,
29.8705,686.936,0.995952,0.686834,-0.726815,
555.926,28.647,0.905783,-0.102695,0.994713,
9.54324,2.1644,0.638044,0.967132,0.254274,
317.968,405.189,0.414103,0.652799,-0.757531,
151.019,775.86,0.953788,0.527505,-0.849552,
35.37,34.9433,0.65894,0.978291,0.207236,
35.7132,669.844,0.701896,0.694233,-0.71975,
397.465,123.225,0.293816,0.991283,0.131747,
138.889,687.303,0.310982,0.597,-0.802241,
359.359,793.811,0.0557612,0.273033,-0.962005,
565.757,312.341,0.195285,-0.126369,-0.991983,
120.221,330.224,0.714807,0.914537,-0.404501,
549.352,64.7768,0.836524,-0.0666058,0.997779,
48.0824,379.705,0.91024,0.902321,-0.431064,
504.904,318.265,0.999694,0.218175,-0.97591,
525.511,9.48902,0.54852,0.138543,0.990357,
541.352,154.965,0.0939703,0.222699,-0.974887,
560.599,692.792,0.080476,-0.0298917,-0.999553,
8.1775,423.306,0.429237,0.885941,-0.463797,
213.137,141.42,0.557698,0.999992,0.00392772,
301.789,756.266,0.438774,0.36739,-0.930067,
554.02,661.521,0.325773,-0.0190234,-0.999819,
392.375,729.15,0.992389,0.250555,-0.968102,
483.101,64.8937,0.109654,0.61719,0.786814,
111.086,751.854,0.863377,0.579436,-0.815018,
98.3461,541.225,0.36627,0.745551,-0.666449,
182.948,654.636,0.564427,0.576523,-0.817081,
157.368,637.79,0.745454,0.615652,-0.788019,
281.88,657.869,0.626346,0.453699,-0.891155,
588.258,459.273,0.154004,-0.138008,-0.990431,
84.4065,29.8348,0.148783,0.971153,0.238458,
443.843,63.341,0.356096,0.784158,0.620561,
126.4,349.217,0.751904,0.896459,-0.443128,
66.5352,617.928,0.919695,0.70889,-0.705319,
233.606,494.776,0.167955,0.661509,-0.749937,
82.6794,255.04,0.140699,0.971633,-0.236492,
301.506,69.5053,0.716677,0.957367,0.288875,
182.881,685.574,0.0707651,0.554026,-0.832499,
339.873,574.55,0.757083,0.427616,-0.90396,
159.47,649.906,0.456527,0.604305,-0.796753,
345.445,210.392,0.91555,0.946609,-0.322383,
498.602,719.821,0.737076,0.0786802,-0.9969,
66.2132,2.9268,0.480848,0.959786,0.280732,
472.823,29.7311,0.2872,0.533802,0.845609,
78.9126,380.685,0.287223,0.890297,-0.45538,
171.199,146.485,0.404981,0.999949,-0.0100934,
444.581,198.474,0.0956467,0.872523,-0.488573,
83.1329,453.852,0.324466,0.828894,-0.559406,
115.324,4.25161,0.252285,0.951619,0.30728,
156.451,736.146,0.849961,0.546942,-0.83717,
348.928,439.431,0.250454,0.549648,-0.835396,
544.074,285.896,0.0849954,0.000524889,-1,
87.8238,353.875,0.996831,0.907548,-0.419948,
467.901,400.468,0.958306,0.283673,-0.958921,
578.6,550.59,0.0878011,-0.0841654,-0.996452,
329.646,33.7922,0.683927,0.891622,0.45278,
94.9476,391.772,0.572536,0.874574,-0.484891,
450.302,658.571,0.31951,0.178989,-0.983851,
80.8896,751.601,0.54334,0.605506,-0.795841,
233.697,232.497,0.813083,0.96064,-0.277798,
193.551,332.52,0.933216,0.879405,-0.476074,
212.835,687.454,0.431741,0.519647,-0.854381,
52.0529,598.444,0.762472,0.733702,-0.679472,
56.8755,431.2,0.998119,0.860505,-0.509443,
420.265,458.424,0.205167,0.365288,-0.930895,
570.703,146.089,0.0418435,-0.992048,-0.125861,
439.618,261.611,0.57804,0.660297,-0.751004,
431.763,319.422,0.449145,0.53667,-0.843792,
163.017,735.273,0.67062,0.540963,-0.841046,
390.983,39.8423,0.206851,0.830126,0.557576,
576.733,575.562,0.078482,-0.075067,-0.997178,
30.6686,521.989,0.0404708,0.804371,-0.594127,
545.718,427.158,0.0879724,-0.00551401,-0.999985,
381.028,433.581,0.788939,0.489149,-0.8722,
511.9,318.706,0.582911,0.180248,-0.983621,
150.845,8.00842,0.50283,0.946046,0.324033,
553.505,282.354,0.659081,-0.0668556,-0.997763,
363.605,751.946,0.628082,0.284135,-0.958784,
468.536,679.393,0.525309,0.139515,-0.99022,
571.714,116.145,0.660907,-0.719923,0.694054,
326.943,387.873,0.597899,0.663157,-0.748481,
141.559,629.8,0.2287,0.637088,-0.770791,
108.352,781.949,0.131013,0.563301,-0.826252,
109.74,23.1861,0.261236,0.964165,0.265304,
361.635,649.67,0.594234,0.338739,-0.94088,
388.508,175.118,0.117607,0.979014,-0.203791,
469.187,366.781,0.168153,0.317276,-0.948333,
462.158,123.722,0.679769,0.974188,0.225736,
572.674,119.423,0.748138,-0.774508,0.632564,
279.121,525.06,0.83368,0.569691,-0.821859,
276.422,85.5423,0.0615859,0.977946,0.208859,
185.612,527.328,0.780757,0.681881,-0.731463,
368.849,645.234,0.955273,0.32938,-0.944197,
498.439,529.85,0.930631,0.117259,-0.993101,
144.969,534.801,0.750137,0.713422,-0.700735,
377.089,486.897,0.426911,0.436668,-0.899623,
284.569,438.219,0.637244,0.65997,-0.751292,
132.221,126.718,0.0698312,0.999246,0.0388184,
281.33,662.462,0.120846,0.451259,-0.892393,
208.1,697.92,0.312681,0.517811,-0.855495,
568.229,448.926,0.411639,-0.0783985,-0.996922,
588.43,682.624,0.133956,-0.0817418,-0.996654,
166.576,682.243,0.759962,0.573368,-0.819298,
310.054,186.166,0.637515,0.983211,-0.182473,
431.718,771.025,0.8765,0.176145,-0.984364,
238.174,794.747,0.681801,0.424819,-0.905278,
314.462,81.4515,0.0172168,0.966215,0.257737,
58.9253,735.477,0.446067,0.633426,-0.773803,
133.322,632.549,0.381164,0.642615,-0.766189,
338.402,582.947,0.211067,0.423406,-0.90594,
418.703,423.331,0.890517,0.408123,-0.912927,
231.498,196.555,0.681867,0.985497,-0.169691,
150.801,373.09,0.704424,0.862902,-0.505371,
344.683,245.672,0.205093,0.888617,-0.458649,
105.31,669.591,0.582797,0.639995,-0.768379,
448.975,430.069,0.903815,0.314418,-0.949285,
553.869,43.6212,0.390731,-0.0976143,0.995224,
546.753,176.489,0.754616,-0.0768837,-0.99704,
405.005,384.282,0.449433,0.499136,-0.866524,
429.02,412.973,0.884961,0.391923,-0.919998,
509.979,202.499,0.715542,0.496255,-0.868177,
368.584,556.213,0.518364,0.390822,-0.920466,
377.885,216.948,0.156213,0.913132,-0.407664,
493.2,605.308,0.983172,0.109478,-0.993989,
318.052,752.029,0.758822,0.347892,-0.937535,
354.942,241.372,0.291628,0.88671,-0.462326,
437.539,301.432,0.685931,0.557603,-0.830108,
426.332,352.135,0.475604,0.490328,-0.871538,
223.719,449.274,0.740535,0.72258,-0.691287,
516.424,558.129,0.373672,0.0665935,-0.99778,
344.173,411.16,0.824394,0.597408,-0.801937,
197.744,228.188,0.302461,0.970886,-0.239543,
446.563,516.274,0.560759,0.252754,-0.96753,
345.384,744.958,0.29517,0.313415,-0.949616,
66.4713,53.0624,0.41601,0.982837,0.184474,
360.551,34.4819,0.217976,0.861443,0.507855,
498.957,506.753,0.484341,0.123198,-0.992382,
549.398,648.172,0.156222,-0.010385,-0.999946,
498.905,292.94,0.789784,0.28839,-0.957513,
501.401,625.365,0.263223,0.0882255,-0.996101,
275.496,734.26,0.164101,0.413512,-0.910499,
459,691.906,0.731891,0.153215,-0.988193,
559.873,76.643,0.187037,-0.231496,0.972836,
200.666,244.85,0.486977,0.958526,-0.285003,
493.552,454.017,0.787609,0.16043,-0.987047,
386.781,713.647,0.264632,0.265727,-0.964048,
376.822,423.925,0.361497,0.511357,-0.859368,
19.443,239.786,0.233048,0.983316,-0.181903,
285.035,346.001,0.147481,0.786774,-0.617241,
227.954,268.128,0.999838,0.929558,-0.368675,
159.138,169.684,0.190044,0.997557,-0.0698625,
334.096,486.573,0.150601,0.521308,-0.853369,
537.345,49.8358,0.795393,0.0730583,0.997328,
380.75,38.8432,0.345094,0.843905,0.536492,
9.71202,252.906,0.368866,0.979401,-0.201924,
200.308,122.214,0.433241,0.998226,0.0595331,
574.089,43.5645,0.17264,-0.289055,0.957313,
544.207,142.529,0.823024,0.289055,-0.957313,
