x,y,mass,velocity_x,velocity_y
239.682,159.631,0.546795,0.998461,-0.0554574,
119.274,295.732,0.102961,0.940847,-0.338831,
178.909,620.349,0.197792,0.607445,-0.794362,
563.642,55.4056,0.101785,-0.21789,0.975973,
171.882,209.701,0.282151,0.984196,-0.177083,
473.797,101.951,0.0784337,0.865219,0.501394,
148.858,119.008,0.0537925,0.998206,0.0598805,
330.21,280.312,0.772964,0.841072,-0.540923,
191.429,151.483,0.763559,0.999692,-0.0248359,
81.0727,541.978,0.0715789,0.757366,-0.65299,
460.852,206.888,0.70119,0.792194,-0.61027,
304.318,688.196,0.876495,0.402488,-0.915425,
50.9647,711.815,0.756317,0.654907,-0.75571,
332.92,602.891,0.949337,0.417173,-0.908827,
403.629,301.064,0.0835745,0.663757,-0.747948,
40.1984,504.784,0.968377,0.812131,-0.583475,
4.33125,567.625,0.334303,0.785779,-0.618507,
81.2118,349.402,0.770841,0.913128,-0.407673,
539.725,720.872,0.243672,0.00765144,-0.999971,
544.522,768.261,0.273859,-0.000595973,-1,
582.086,599.304,0.713007,-0.0828023,-0.996566,
379.372,30.5673,0.563812,0.826682,0.562669,
418.97,755.906,0.398063,0.200021,-0.979792,
584.469,79.4913,0.0534064,-0.537663,0.84316,
116.407,253.133,0.419102,0.968262,-0.249937,
90.0086,154.594,0.911849,0.999658,-0.0261366,
477.037,520.98,0.332769,0.174694,-0.984623,
95.049,29.7368,0.26659,0.969781,0.243975,
342.154,551.721,0.948716,0.442814,-0.896614,
552.198,234.515,0.326558,-0.0873535,-0.996177,
543.947,429.709,0.262848,0.000703037,-1,
516.648,560.295,0.251556,0.0657167,-0.997838,
584.43,386.01,0.0306072,-0.163344,-0.986569,
303.888,615.852,0.444233,0.452776,-0.891624,
296.977,129.735,0.77888,0.998623,0.0524633,
496.49,665.003,0.373603,0.0908741,-0.995862,
309.605,305.645,0.206996,0.821293,-0.570506,
418.523,271.937,0.959164,0.697077,-0.716997,
472.207,451.414,0.826717,0.226971,-0.973901,
98.4057,221.013,0.41091,0.984922,-0.172997,
63.5648,359.355,0.260827,0.911658,-0.410951,
428.715,534.334,0.733344,0.282738,-0.959197,
511.562,22.4251,0.900389,0.26147,0.965212,
389.836,193.624,0.518166,0.949664,-0.313271,
32.9774,76.1519,0.0594955,0.991627,0.129137,
363.433,599.848,0.750588,0.367644,-0.929967,
534.621,602.238,0.257316,0.0207304,-0.999785,
144.478,284.273,0.977147,0.942626,-0.333852,
485.639,144.988,0.123392,0.99925,-0.0387322,
23.681,554.836,0.439252,0.783989,-0.620775,
314.572,445.351,0.50463,0.604379,-0.796697,
510.356,640.507,0.88714,0.0677318,-0.997704,
170.317,233.948,0.351672,0.971491,-0.237076,
242.802,596.064,0.774441,0.553578,-0.832797,
54.7443,629.141,0.818375,0.709266,-0.704941,
89.5484,713.782,0.552677,0.622815,-0.782369,
571.415,303.207,0.224276,-0.167495,-0.985873,
374.542,350.369,0.0845345,0.632594,-0.774484,
372.056,0.694592,0.480824,0.771265,0.636514,
85.4248,61.9103,0.520947,0.984835,0.173491,
166.827,352.166,0.918012,0.874332,-0.485329,
268.574,589.327,0.348548,0.52512,-0.851028,
300.085,286.139,0.283213,0.862164,-0.50663,
246.592,232.425,0.25558,0.957438,-0.288638,
316.683,475.248,0.249827,0.564595,-0.825368,
503.012,81.9461,0.594064,0.560546,0.828123,
215.404,63.3642,0.186125,0.97208,0.234651,
141.79,26.9169,0.455201,0.96099,0.276583,
373.802,588.649,0.561556,0.356854,-0.93416,
242.42,310.585,0.145324,0.873865,-0.486168,
537.694,304.845,0.171999,0.0397835,-0.999208,
49.9398,453.615,0.855291,0.846445,-0.532476,
383.787,186.928,0.78066,0.964039,-0.265761,
297.208,616.52,0.36895,0.462185,-0.886784,
400.07,32.8542,0.951432,0.795187,0.606364,
570.808,13.2526,0.743377,-0.201678,0.979452,
225.525,588.775,0.356497,0.581255,-0.813721,
520.051,373.898,0.738965,0.103677,-0.994611,
294.299,241.519,0.9433,0.929935,-0.367725,
286.051,397.008,0.504761,0.712346,-0.701829,
327.291,590.689,0.489941,0.435723,-0.900081,
149.177,603.433,0.199095,0.650864,-0.759195,
87.8917,507.505,0.833567,0.781053,-0.624464,
321.002,623.298,0.301817,0.421145,-0.906993,
348.271,419.954,0.848277,0.577045,-0.816712,
331.034,702.201,0.300716,0.355966,-0.934499,
486.223,280.649,0.657195,0.387213,-0.92199,
277.469,640.473,0.136012,0.472259,-0.88146,
209.592,610.654,0.481018,0.581605,-0.813471,
196.181,269.572,0.619283,0.939518,-0.3425,
438.351,444.625,0.371769,0.330717,-0.94373,
